component_name,component_type,tloc,orphan,Inscope
1,COBOL,262,Yes,No
APL100,COBOL,919,No,Yes
1,COBOL,2452,Yes,No
APL110,COBOL,1505,No,Yes
APP000,COBOL,887,No,Yes
APP003,COBOL,610,No,Yes
APP005,COBOL,1004,No,Yes
APL200,COBOL,865,No,Yes
APP071,COBOL,1946,Yes,Yes
APP120,COBOL,1880,No,Yes
APP140,COBOL,1144,No,Yes
APP141,COBOL,1195,Yes,Yes
APP160,COBOL,1246,Yes,Yes
APP099,COBOL,1384,No,Yes
APP205,COBOL,1522,No,Yes
APP220,COBOL,2339,No,Yes
APP230,COBOL,1481,No,Yes
APP240,COBOL,2221,No,Yes
APP260,COBOL,3294,No,Yes
APP265,COBOL,476,No,Yes
APP200,COBOL,561,No,Yes
APP266,COBOL,621,No,Yes
APP270,COBOL,1511,No,Yes
APP310,COBOL,3170,Yes,Yes
APP319,COBOL,724,Yes,Yes
APP320,COBOL,6034,Yes,Yes
APP280,COBOL,496,Yes,Yes
APP330,COBOL,785,Yes,Yes
APP336,COBOL,795,Yes,Yes
APP340,COBOL,1831,Yes,Yes
APP341,COBOL,542,Yes,Yes
APP350,COBOL,1085,No,Yes
APP335,COBOL,800,Yes,Yes
APP390,COBOL,1519,Yes,Yes
APP410,COBOL,1420,No,Yes
APP360,COBOL,1422,No,Yes
APP421,COBOL,2258,No,Yes
APP430,COBOL,273,Yes,Yes
APP420,COBOL,2242,No,Yes
APP450,COBOL,1183,No,Yes
APP440,COBOL,429,Yes,Yes
APP470,COBOL,573,No,Yes
APP480,COBOL,796,No,Yes
APP490,COBOL,443,Yes,Yes
APP491,COBOL,535,Yes,Yes
APP510,COBOL,3068,No,Yes
APP460,COBOL,1843,No,Yes
APP520,COBOL,1010,No,Yes
APP521,COBOL,1020,Yes,Yes
APP608,COBOL,389,Yes,Yes
APP610,COBOL,3815,No,Yes
APP630,COBOL,356,No,Yes
APP640,COBOL,995,Yes,Yes
APP650,COBOL,1104,No,Yes
APP660,COBOL,2203,No,Yes
APP620,COBOL,462,No,Yes
APP705,COBOL,1501,No,Yes
APP706,COBOL,1972,Yes,Yes
APP710,COBOL,1787,No,Yes
APP720,COBOL,939,No,Yes
APP700,COBOL,6678,No,Yes
APP760,COBOL,882,No,Yes
APP750,COBOL,1318,No,Yes
APP940,COBOL,3236,Yes,Yes
APP98A,COBOL,296,Yes,Yes
APP98B,COBOL,866,Yes,Yes
APP991,COBOL,1051,No,Yes
APP900,COBOL,592,Yes,Yes
APP993,COBOL,565,No,Yes
APPC51,COBOL,1259,No,Yes
APPC52,COBOL,668,Yes,Yes
APPC53,COBOL,1011,No,Yes
APP992,COBOL,872,No,Yes
APPC55,COBOL,1930,Yes,Yes
APPGAS,COBOL,847,Yes,Yes
APPM41,COBOL,650,Yes,Yes
APPM42,COBOL,560,Yes,Yes
APPM43,COBOL,637,No,Yes
APPGAP,COBOL,439,No,Yes
APPM45,COBOL,947,Yes,Yes
APPM47,COBOL,2480,Yes,Yes
APPM48,COBOL,818,Yes,Yes
APPM49,COBOL,1207,Yes,Yes
APPM51,COBOL,1103,Yes,Yes
