Calling Component,Calling Type,App Name,App Owner,Called Component,Called Type
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",MASTER,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",CPACC,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",PE51LOB,COBOL
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",ATRAILER,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",UTRAILER,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",MSCDSECT,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",BPRDSECT,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",AHATRAIL,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",AHPTRAIL,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",PMTHD,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",UTCB0135,COBOL
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",DSCTAB,FILE
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",NP10030,ASSEMBLER
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",NDINOIN,ASM_COPYBOOK
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",ACPACC2,ASM_COPYBOOK
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",PMTRLR,COPYBOOK
AGTTBLLD,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",INPUT,FILE
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",AHATRAIL,FILE
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",UTRAILER,FILE
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",PMTRLR,COPYBOOK
ALPCLEAR,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TXCOPY,COPYBOOK
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",ANMDSECT,FILE
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",P@DSECT,FILE
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",OP@MOPT,FILE
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",ANMFLDL,FILE
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",F@SECT,FILE
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",ACLDSECT,FILE
AP10004,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK
AP10004,ASSEMBLER,Actuarial,"Hutto, Amy",AADDSECT,FILE
AP10004,ASSEMBLER,Actuarial,"Hutto, Amy",W@ADSECT,FILE
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",AEDSDSC,FILE
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE
