Calling Component Name,Calling Component Type,App Name,App owner,CalledComponentName,Called Component Type,Call Type
AECB0010,COBOL,Actuarial,"Hutto, Amy",AECC0010,COPYBOOK,
AECB0010,COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AECB0010,COBOL,Actuarial,"Hutto, Amy",Y2KCOBOL,COPYBOOK,
AECB0010,COBOL,Actuarial,"Hutto, Amy",SQLCA,DCLGEN,
AECB0010,COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AECB0010,COBOL,Actuarial,"Hutto, Amy",UTCB9010,COBOL,DYNAMIC
AECB0010,COBOL,Actuarial,"Hutto, Amy",ABEND,COBOL,STATIC
AECB0990,COBOL,Actuarial,"Hutto, Amy",UUCC5005,COPYBOOK,
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCC1101,COPYBOOK,
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCC1301,COPYBOOK,
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCC0001,COPYBOOK,
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCC0601,COPYBOOK,
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCC0801,COPYBOOK,
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCU0009,COBOL,DYNAMIC
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCU0013,COBOL,DYNAMIC
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCU0006,COBOL,DYNAMIC
AECB0990,COBOL,Actuarial,"Hutto, Amy",ZZCU0008,COBOL,DYNAMIC
AECBN925,COBOL,Actuarial,"Hutto, Amy",ZZCC1301,COPYBOOK,
AECBN925,COBOL,Actuarial,"Hutto, Amy",ZZCC0001,COPYBOOK,
AECBN925,COBOL,Actuarial,"Hutto, Amy",ZZCC0601,COPYBOOK,
AECBN925,COBOL,Actuarial,"Hutto, Amy",ZZCC0801,COPYBOOK,
AECBN925,COBOL,Actuarial,"Hutto, Amy",ZZCU0006,COBOL,DYNAMIC
AECBN925,COBOL,Actuarial,"Hutto, Amy",ZZCU0013,COBOL,DYNAMIC
AECBN925,COBOL,Actuarial,"Hutto, Amy",ZZCU0008,COBOL,DYNAMIC
AECBN927,COBOL,Actuarial,"Hutto, Amy",ZZCC1301,COPYBOOK,
AECBN927,COBOL,Actuarial,"Hutto, Amy",ZZCC0001,COPYBOOK,
AECBN927,COBOL,Actuarial,"Hutto, Amy",ZZCC0601,COPYBOOK,
AECBN927,COBOL,Actuarial,"Hutto, Amy",ZZCC0801,COPYBOOK,
AECBN927,COBOL,Actuarial,"Hutto, Amy",ZZCU0006,COBOL,DYNAMIC
AECBN927,COBOL,Actuarial,"Hutto, Amy",ZZCU0013,COBOL,DYNAMIC
AECBN927,COBOL,Actuarial,"Hutto, Amy",ZZCU0008,COBOL,DYNAMIC
AECBP001,COBOL,Actuarial,"Hutto, Amy",UUCC5022,COPYBOOK,
AECBP001,COBOL,Actuarial,"Hutto, Amy",UUCC5023,COPYBOOK,
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCC1301,COPYBOOK,
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCC0001,COPYBOOK,
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCC0601,COPYBOOK,
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCC0801,COPYBOOK,
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCU0006,COBOL,DYNAMIC
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCU0009,COBOL,DYNAMIC
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCU0035,COBOL,STATIC
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCB0037,COBOL,DYNAMIC
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCU0013,COBOL,DYNAMIC
AECBP001,COBOL,Actuarial,"Hutto, Amy",ZZCU0008,COBOL,DYNAMIC
AENDBABA,COBOL,Actuarial,"Hutto, Amy",ZZCC0001,COPYBOOK,
AENDBABA,COBOL,Actuarial,"Hutto, Amy",ZZCC1301,COPYBOOK,
AENDBABA,COBOL,Actuarial,"Hutto, Amy",ZZCC1101,COPYBOOK,
AENDBABA,COBOL,Actuarial,"Hutto, Amy",UUCC7003,DCLGEN,
AENDBABA,COBOL,Actuarial,"Hutto, Amy",SQLCA,DCLGEN,
AENDBABA,COBOL,Actuarial,"Hutto, Amy",UUCC6003,DCLGEN,
AENDBABA,COBOL,Actuarial,"Hutto, Amy",ZZCU0011,COBOL,DYNAMIC
AENDBABA,COBOL,Actuarial,"Hutto, Amy",ZZCU0013,COBOL,DYNAMIC
AHCB0010,COBOL,Actuarial,"Hutto, Amy",SQLCA,DCLGEN,
AHCB0060,COBOL,Actuarial,"Hutto, Amy",AHCCAEDB,COPYBOOK,
AHCB0060,COBOL,Actuarial,"Hutto, Amy",UTCCHDRS,COPYBOOK,
AHCB0060,COBOL,Actuarial,"Hutto, Amy",UTCC1001,COPYBOOK,
AHCB0060,COBOL,Actuarial,"Hutto, Amy",UTCC1003,COPYBOOK,
AHCB0060,COBOL,Actuarial,"Hutto, Amy",UTAB1001,COBOL,DYNAMIC
AHCB0060,COBOL,Actuarial,"Hutto, Amy",UTAB1003,COBOL,DYNAMIC
AHCB0100,COBOL,Actuarial,"Hutto, Amy",AHCCAEDB,COPYBOOK,
AHCB0100,COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
AHCB0100,COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
AHCB0200,COBOL,Actuarial,"Hutto, Amy",AHCCAEDB,COPYBOOK,
AHCB0200,COBOL,Actuarial,"Hutto, Amy",AHCCAHPX,COPYBOOK,
AHCB0200,COBOL,Actuarial,"Hutto, Amy",DSTBLMAC,COPYBOOK,
AHCB0200,COBOL,Actuarial,"Hutto, Amy",BPCCE2C0,COPYBOOK,
AHCB0200,COBOL,Actuarial,"Hutto, Amy",DSTBLMAN,COBOL,DYNAMIC
AHCB0200,COBOL,Actuarial,"Hutto, Amy",CEE3ABD,COBOL,STATIC
