Instance,Source component,Source component app name,App owner,Composite component,Called component,Called component app name,,
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,HT01,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,CMCVDATE,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,CMLOAD,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,TXCVMYTD,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,TXCVDMYC,Life 70 (core batch processing stay on mainframe),#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0110,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0210,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0220,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0230,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0310,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0320,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0330,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0410,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0420,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0430,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0510,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0520,Actuarial,#N/A,#N/A
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0530,Actuarial,#N/A,#N/A
