component_name,component_type,App Name,App Owner,File_name,Open Mode,Closed,Read,Write,Rewrite,Start,Release,Delete,Sort,Merge,Optional
AECB0010,COBOL,Actuarial,"Hutto, Amy",PE10-DATE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AECB0010,COBOL,Actuarial,"Hutto, Amy",SWISSRE-OUT-FILE-V,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AECB0010,COBOL,Actuarial,"Hutto, Amy",SWISSRE-OUT-FILE-F,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AECB0010,COBOL,Actuarial,"Hutto, Amy",SWISSRE-ERR-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AECB0010,COBOL,Actuarial,"Hutto, Amy",SWISSRE-PREM-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AECB0010,COBOL,Actuarial,"Hutto, Amy",SWISSRE-NEWB-OUT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AECB0100,COBOL,Actuarial,"Hutto, Amy",PMRIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AECB0100,COBOL,Actuarial,"Hutto, Amy",CIFIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AECB0100,COBOL,Actuarial,"Hutto, Amy",RECOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AECB0200,COBOL,Actuarial,"Hutto, Amy",RECIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AECB0200,COBOL,Actuarial,"Hutto, Amy",RECOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AECB0200,COBOL,Actuarial,"Hutto, Amy",TRANOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AECB0300,COBOL,Actuarial,"Hutto, Amy",RECIN,INPUT,Yes,Yes,Yes,No,No,No,No,No,No,No
AECB0300,COBOL,Actuarial,"Hutto, Amy",RECOLD,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AECB0300,COBOL,Actuarial,"Hutto, Amy",DATEIN,INPUT,Yes,No,No,No,No,No,No,No,No,No
AECB0300,COBOL,Actuarial,"Hutto, Amy",RECOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AECB0300,COBOL,Actuarial,"Hutto, Amy",TRANOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AECB0990,COBOL,Actuarial,"Hutto, Amy",WORK02,INPUT/INPUT,Yes,No,No,No,No,No,No,No,No,No
AECB0990,COBOL,Actuarial,"Hutto, Amy",WORK01,OUTPUT/OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AECBN925,COBOL,Actuarial,"Hutto, Amy",WORK01,INPUT/INPUT,Yes,No,No,No,No,No,No,No,No,No
AECBN925,COBOL,Actuarial,"Hutto, Amy",REPORT00,OUTPUT,No,No,Yes,No,No,No,No,No,No,No
AECBN927,COBOL,Actuarial,"Hutto, Amy",WORK01,INPUT/INPUT,Yes,No,No,No,No,No,No,No,No,No
AECBN927,COBOL,Actuarial,"Hutto, Amy",REPORT00,OUTPUT,No,No,Yes,No,No,No,No,No,No,No
AECBP001,COBOL,Actuarial,"Hutto, Amy",REPORT00,OUTPUT,No,No,Yes,No,No,No,No,No,No,No
AECBP001,COBOL,Actuarial,"Hutto, Amy",WORK01,OUTPUT/OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0010,COBOL,Actuarial,"Hutto, Amy",DENTAL-FLAT,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0060,COBOL,Actuarial,"Hutto, Amy",IDB,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AHCB0060,COBOL,Actuarial,"Hutto, Amy",ODB,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0060,COBOL,Actuarial,"Hutto, Amy",OREPORT,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0100,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AHCB0100,COBOL,Actuarial,"Hutto, Amy",INPUT02,INPUT,Yes,Yes,No,No,No,No,No,No,No,No
AHCB0100,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AHCB0100,COBOL,Actuarial,"Hutto, Amy",OUTPUT02,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0100,COBOL,Actuarial,"Hutto, Amy",OUTPUT99,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
AHCB0200,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0200,COBOL,Actuarial,"Hutto, Amy",INPUT02,INPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0200,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0210,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0210,COBOL,Actuarial,"Hutto, Amy",INPUT02,INPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0210,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0300,COBOL,Actuarial,"Hutto, Amy",INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0300,COBOL,Actuarial,"Hutto, Amy",INPUT02,INPUT,Yes,No,No,No,No,No,No,No,No,No
AHCB0300,COBOL,Actuarial,"Hutto, Amy",OUTPUT01,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No
