component_name,component_type,App Name,App owner,action,server_name,directory_name,Source,Destination
PCAEM210,JCL,Actuarial,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,\\PARTNER.FILE.XFER\SWISSRE\OUTGOING,PC.AECB0010.A68.REINS.EXTRACT(0),A68_SWISSRE_EXTRACT.TXT
PCCPD004,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,CEP.INVALTRAN.TRANINPT.I.TXT,"PC.CPPS.JPMC.REJRTNS(+1),                      "
PCCPD004,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,JPM.PROV.REJECTS.RETURNS.COL.TXT,"PC.CPPS.JPMC.REJRTNS.PROV(+1),                 "
PCCPD092,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,CEP.ENDOFDAY.PROVDPREF.I.TXT,PC.CPPS.DAILY.PROVIDER
PCCPD093,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,CEP.ENROLLMENT.ENROLRPT.I.TXT,PC.CPPS.DAILY.CEPS.FTP
PCCPD198,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,CLAIMS_ATTRIBUTES,HRDATA.TXT,"PC.CPPS.CPCB0198.HR(+1),                        "
PCCPD198,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,CLAIMS_ATTRIBUTES,"PC.CPPS.CPCB0198.ATTRFILE(+1),                  ",CLAIMS_COL_CURRENT_ATTRIBUTES.CSV
PCCPD198,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,CLAIMS_ATTRIBUTES,"PC.CPPS.CPCB0198.AUDFILE(+1),                   ",CLAIMS_COL_AUDIT_ATTRIBUTES.CSV
PCCPD198,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,ENTITLEMENT_FEEDS,"PC.CPPS.CPCB0198.ATTRFILE(+1),                  ",CLAIMS_COL_CURRENT_ATTRIBUTES.CSV
PCCPD400,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,BOUNCED_EMAILS_EOB_COL.TXT,PC.CPPS.EMAIL.FAIL
PCCPD400,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PC.CPPS.EMAIL.FAIL.NINES,BOUNCED_EMAILS_EOB_COL.TXT
PCCPD450,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.SIU,//DD:INFILE1,SIU.TXT
PCCPD702,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.DELIVER,PC.CPPS.CPCB7055.PRV835.COL.FTP,AFLAC_PRV835_COL.DJPM_CLPCOL
PCCPD702,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.DELIVER,PC.CPPS.CPCB7056.PH.CEPS.FTP,AFLAC.ACH.PAYMENT.I.DJPM_PAYMENT
PCCPD750,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,CP.REGCLMS.UB1500.TXT,"PC.CPPS.REGCLMS.PI837(+1),                     "
PCCPD750,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PC.CPPS.CP.REGCLMS.UB1500,CP.REGCLMS.UB1500.TXT
PCCPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PC.CPPS.CPCB7010.CL.SPREAD.SHEET(+0),COLUMBUS_SP_SHEET.CSV
PCCPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PC.CMPS.CPCB7012.CL.MS.SPREAD.SHEET(0),COLUMBUS_MD_SHEET.CSV
PCCPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PC.CDPS.CPCB7015.CL.DE.SPREAD.SHEET(0),COLUMBUS_DE_SHEET.CSV
PCCPD850,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,COLUMBUS_SKELTON_FILE.CSV,PC.CPCB7020.SKELTON.FILE
PCCPD850,JCL,Policy Remarks,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,COLUMBUS_FORMULA_FILE.TXT,PC.CPCB7020.FORMULA.FILE
PCCPD850,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.CLMSFTP,PC.CPPS.CPCB7020.CL.FINANCE.SHEET(+0),COLUMBUS_FINANCE_SHEET.CSV
PCCPD900,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.DELIVER,PC.CPPS.PROVIDER.EFT.REJECTS,AFLAC_PRV835_COL.DJPM_CLPCOL
PCCPM160,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.DELIVER,PC.CPPS.WIS.EXTRACT.TAPE.FLAT,WISCONSIN_EXTRACT.DWI_DOH
PCCPM251,JCL,Policy Remarks,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.DELIVER,PC.CPPS.CEP.MTHLY.UNENROLL(0),AFLAC.ACH.DECOM.I.DJPM_DECOM
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,CAYS,JV_TTL.TXT,PC.FGPS.JV1.UPLOAD.REPORT
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,INTERNALFTP.AFLAC.COM,CAYS,JV_TTL.TXT,JV_TTL.BKUP
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,CAYS,GA11_TTL.TXT,PC.FGPS.GA11.UPLOAD.REPORT
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,INTERNALFTP.AFLAC.COM,CAYS,GA11_TTL.TXT,GA11_TTL.BKUP
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",GET,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.DAT,PC.FGPS.GA11.INCENT.COMMWEBO.UPLOAD
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B09,GA11.B10
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B08,GA11.B09
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B07,GA11.B08
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B06,GA11.B07
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B05,GA11.B06
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B04,GA11.B05
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B03,GA11.B04
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B02,GA11.B03
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.B01,GA11.B02
PCFGD055,JCL,Life 70 - General Accounting,"Hutto, Amy",RENAME,GET GA11.DAT 'PC.FGPS.GA11.INCENT.COM,CAYS,GA11.DAT,GA11.B01
PCFGD065,JCL,Life 70 - General Accounting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,PARTNER.FILE.XFER\BALIHOO\INCOMING,BALIHOO.GA11.TXT,"PC.FGPS.BALIHOO.GA11.UPLOAD(+1),                "
PCFGD0BL,JCL,Life 70 - General Accounting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,\PC.SAPFI\BLACKLINE\DATA\,PC.FCPS.PCFGD040.RPT99.BLKLINE(0),PC_CLEARING_ACCTS.TXT
PCFGD0BL,JCL,Life 70 - General Accounting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,\PC.SAPFI\BLACKLINE\DATA\,PC.FGPS.PCFGD015.RPT08.BLKLINE(0),PC_SUSPENSE_ACCTS.TXT
PCNPD514,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/INCOMING,"PC.NPPS.DRAFT.MTS.LETTERS(+1),DISP=SHR          ",PCEXD51401.SEEDS
PCNPD514,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/OUTGOING,"PC.NPPS.DRAFT.LETTER.MTS.CMDLINE(+1),DISP=SHR   ",PCEXD51401.TXT
PCNPD514,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA\COMMANDLINES,//DD:INFILE,PCEXD51401CMD.TXT
PCNPD614,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.DETAIL.FILE(+0),PENDEDDETAIL.TXT
PCNPD614,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.LTRCODE.FILE(+0),PENDEDLTRCODE.TXT
PCNPD614,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.MASTER.FILE(+0),PENDEDMASTER.TXT
PCNPD614,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.ANNUAL.PREMIUM(+0),PENDEDPREMIUM.TXT
PCNPD614,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPPS.PENDED.DESTCODE.FILE(+0),DESTCODES.TXT
PCNPD614,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,PUT 'PC.NPXX.PHSDESKS.FLAT.FILE.COM,PC.EDAIFTP,PC.NPXX.PHSDESKS.FLAT.FILE.COMB,PHSDESKCODES.TXT
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.DETAIL.FILE(+0),PENDEDDETAIL.TXT
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.LTRCODE.FILE(+0),PENDEDLTRCODE.TXT
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.MASTER.FILE(+0),PENDEDMASTER.TXT
PCNPD615,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.EDAIFTP,PC.NPXX.PENDED.ANNUAL.PREMIUM(+0),PENDEDPREMIUM.TXT
PCNPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGFILES\TEMP,KEY.TXT,PC.NPPS.FFA.DOWNLOAD.KEY
PCNPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGFILES\TEMP,COUNT.TXT,PC.NPPS.FFA.DOWNLOAD.CNT
PCNPD770,JCL,Life 70 - Underwriting,"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SNG.PENDATA\DATA\LOGFILES\TEMP,BALANCENEW.TXT,PC.NPPS.FFA.DOWNLOAD.BAL
PCNPR920,JCL,Life 70 - Underwriting,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PC.FILLABLEPDF,//DD:INFILE,COLFILLPDF.TXT
PCNRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/INCOMING,"PC.NRPS.IBS.NREB0560.MTS.LETTERS(+1),           ",PCEXD50201.SEEDS
PCNRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA/OUTGOING,"PC.NRPS.IBS.NREB0560.MTS.CMDLINE(+1),           ",PCEXD50201.TXT
PCNRD502,JCL,Return Letters,"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,MTSDATA\COMMANDLINES,//DD:INFILE,PCEXD50201CMD.TXT
PCPCD087,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,INTERNALFTP.AFLAC.COM,PARTNER.FILE.XFER\USAA\OUTGOING,//DD:FTPOUT1,POLICY.CSV
PCPCD175,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",GET,INTERNALFTP.AFLAC.COM,SAP_ERPHR/OUTBOUND/BN/WWHQADDRESSTOCIF,CIF_CENSUS.CSV,PC.PCPS.HRFILE.FOR.UPDATE(+0)
PCPCD337,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",PUT,,,PC.PFPS.MINIRATE.DOWNLOAD(0),MINIRATE.TXT
