component_name,component_type,App Name,App Owner,table_name,operation,query
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS CYCLEJ_I_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID = 'BCC' AND A.MTRC_COMPANY_NO = '01' WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS CYCLEJ_I_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID = 'BCC' AND A.MTRC_COMPANY_NO = '01' WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '01' WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '01' WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS CYCLEJ_II_REJECTED_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '01' AND A.MTRC_POL_STATUS_IND = 'R' WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS CYCLEJ_II_REJECTED_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '01' AND A.MTRC_POL_STATUS_IND = 'R' WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS POL_WITH_MULT_CYCLEJ_II_TA FROM ( SELECT A.MTRC_POLICY_NO FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '01' GROUP BY A.MTRC_POLICY_NO HAVING COUNT(*) > 1 ) AS C WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS POL_WITH_MULT_CYCLEJ_II_TA FROM ( SELECT A.MTRC_POLICY_NO FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '01' GROUP BY A.MTRC_POLICY_NO HAVING COUNT(*) > 1 ) AS C WITH UR
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,"SELECT A.MTRC_BUS_INTENT_ID AS TRANSACTION_TYPE, COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_COMPANY_NO = '01' AND A.MTRC_BUS_INTENT_ID != 'BCC' GROUP BY A.MTRC_BUS_INTENT_ID ORDER BY A.MTRC_BUS_INTENT_ID WITH UR"
PCJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,"SELECT A.MTRC_BUS_INTENT_ID AS TRANSACTION_TYPE, COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_COMPANY_NO = '01' AND A.MTRC_BUS_INTENT_ID != 'BCC' GROUP BY A.MTRC_BUS_INTENT_ID ORDER BY A.MTRC_BUS_INTENT_ID WITH UR"
PCNFDATE,JCL,New Business Scorecard,"Hutto, Amy",TBL_NF_CYCLEDATE,READ,"SELECT CYDT_COMPANY_NO ,CYDT_CYCLE_DT FROM PCNFDB01.TBL_NF_CYCLEDATE WITH UR"
PCNPD015,JCL,Life 70 - Underwriting,"Hutto, Amy",TBL_NF_CONTRACT,READ,"SELECT CONT_COMPANY_NO, CONT_POLICY_NO, CONT_PLAN_CD, CONT_STATE_CD, CONT_DISPOSITN_DT, DIGITS(CONT_CUSTOMER_NBR), CONT_PU0_UNIVERSAL_APP_IND FROM PCNFDB01.TBL_NF_CONTRACT WHERE CONT_PTRSTAT1_IND = '4' AND CONT_PU0_UNIVERSAL_APP_IND = 'Y' WITH UR"
PCNPD782,JCL,Life 70 - Underwriting,"Hutto, Amy",TBL_NF_CONTRACT,READ,"SELECT CONT_COMPANY_NO, CONT_POLICY_NO, CYDT_CYCLE_DT FROM PCNFDB01.TBL_NF_CONTRACT , PCNFDB01.TBL_NF_CYCLEDATE WHERE CONT_COMPANY_NO = '01' AND CONT_ENTYTRANSN_CD = '01' AND CYDT_COMPANY_NO = '01' AND CONT_FORM_CD IN ('B1', 'B2', 'F1') AND CONT_SETLEMENT_AMT = 0 AND CONT_ACCTGBLNC_AMT = 0 AND (CONT_PTRSTAT1_IND = '2' OR CONT_PTRSTAT1_IND = '3') AND CONT_POLICY_NO NOT IN (SELECT APPLICATION_NUMBER FROM PCNRDB01.RESPONSE_ACTION WHERE DESTINATION_CODE = '64' ) AND CONT_POLICY_NO NOT IN (SELECT CONT_POLICY_NO FROM PCNFDB01.TBL_NF_CONTRACT WHERE CONT_COMPANY_NO = '01' AND CONT_ASSOCTN_NO IN (SELECT GROUP_NUMBER FROM PCGMDB01.TBL_GM_GROUP_EXCEP WHERE GEXR_TYPE_SEQ = 1 AND (GEXC_EXPIRATION_DT >= (CURRENT DATE) OR GEXC_EXPIRATION_DT IS NULL ))) WITH UR"
PCNPD782,JCL,Life 70 - Underwriting,"Hutto, Amy",TBL_NF_CYCLEDATE,READ,"SELECT CONT_COMPANY_NO, CONT_POLICY_NO, CYDT_CYCLE_DT FROM PCNFDB01.TBL_NF_CONTRACT , PCNFDB01.TBL_NF_CYCLEDATE WHERE CONT_COMPANY_NO = '01' AND CONT_ENTYTRANSN_CD = '01' AND CYDT_COMPANY_NO = '01' AND CONT_FORM_CD IN ('B1', 'B2', 'F1') AND CONT_SETLEMENT_AMT = 0 AND CONT_ACCTGBLNC_AMT = 0 AND (CONT_PTRSTAT1_IND = '2' OR CONT_PTRSTAT1_IND = '3') AND CONT_POLICY_NO NOT IN (SELECT APPLICATION_NUMBER FROM PCNRDB01.RESPONSE_ACTION WHERE DESTINATION_CODE = '64' ) AND CONT_POLICY_NO NOT IN (SELECT CONT_POLICY_NO FROM PCNFDB01.TBL_NF_CONTRACT WHERE CONT_COMPANY_NO = '01' AND CONT_ASSOCTN_NO IN (SELECT GROUP_NUMBER FROM PCGMDB01.TBL_GM_GROUP_EXCEP WHERE GEXR_TYPE_SEQ = 1 AND (GEXC_EXPIRATION_DT >= (CURRENT DATE) OR GEXC_EXPIRATION_DT IS NULL ))) WITH UR"
PCNPD782,JCL,Life 70 - Underwriting,"Hutto, Amy",RESPONSE_ACTION,READ,"SELECT CONT_COMPANY_NO, CONT_POLICY_NO, CYDT_CYCLE_DT FROM PCNFDB01.TBL_NF_CONTRACT , PCNFDB01.TBL_NF_CYCLEDATE WHERE CONT_COMPANY_NO = '01' AND CONT_ENTYTRANSN_CD = '01' AND CYDT_COMPANY_NO = '01' AND CONT_FORM_CD IN ('B1', 'B2', 'F1') AND CONT_SETLEMENT_AMT = 0 AND CONT_ACCTGBLNC_AMT = 0 AND (CONT_PTRSTAT1_IND = '2' OR CONT_PTRSTAT1_IND = '3') AND CONT_POLICY_NO NOT IN (SELECT APPLICATION_NUMBER FROM PCNRDB01.RESPONSE_ACTION WHERE DESTINATION_CODE = '64' ) AND CONT_POLICY_NO NOT IN (SELECT CONT_POLICY_NO FROM PCNFDB01.TBL_NF_CONTRACT WHERE CONT_COMPANY_NO = '01' AND CONT_ASSOCTN_NO IN (SELECT GROUP_NUMBER FROM PCGMDB01.TBL_GM_GROUP_EXCEP WHERE GEXR_TYPE_SEQ = 1 AND (GEXC_EXPIRATION_DT >= (CURRENT DATE) OR GEXC_EXPIRATION_DT IS NULL ))) WITH UR"
PCNPD782,JCL,Life 70 - Underwriting,"Hutto, Amy",TBL_NF_CONTRACT,READ,"SELECT CONT_COMPANY_NO, CONT_POLICY_NO, CYDT_CYCLE_DT FROM PCNFDB01.TBL_NF_CONTRACT , PCNFDB01.TBL_NF_CYCLEDATE WHERE CONT_COMPANY_NO = '01' AND CONT_ENTYTRANSN_CD = '01' AND CYDT_COMPANY_NO = '01' AND CONT_FORM_CD IN ('B1', 'B2', 'F1') AND CONT_SETLEMENT_AMT = 0 AND CONT_ACCTGBLNC_AMT = 0 AND (CONT_PTRSTAT1_IND = '2' OR CONT_PTRSTAT1_IND = '3') AND CONT_POLICY_NO NOT IN (SELECT APPLICATION_NUMBER FROM PCNRDB01.RESPONSE_ACTION WHERE DESTINATION_CODE = '64' ) AND CONT_POLICY_NO NOT IN (SELECT CONT_POLICY_NO FROM PCNFDB01.TBL_NF_CONTRACT WHERE CONT_COMPANY_NO = '01' AND CONT_ASSOCTN_NO IN (SELECT GROUP_NUMBER FROM PCGMDB01.TBL_GM_GROUP_EXCEP WHERE GEXR_TYPE_SEQ = 1 AND (GEXC_EXPIRATION_DT >= (CURRENT DATE) OR GEXC_EXPIRATION_DT IS NULL ))) WITH UR"
