CalledComponentName,Called Component Type,Status,Found in Columbus as Diff type,Application Code,Application Name,Application Owner
AP102S9,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
AP102S8,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
AP10400,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
AP10500,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
AP10600,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
NC232RE2,COBOL,Missing,-,NC,New Business Scorecard,"Hutto, Amy"
APSOL000,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL001,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL100,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL110,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL120,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL130,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL140,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL150,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL160,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL200,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL210,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL220,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL230,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL250,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL260,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL300,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL310,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL400,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL410,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL420,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL430,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL500,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL510,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL520,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL530,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL600,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL620,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL800,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL900,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL910,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL920,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL930,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL940,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL950,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL960,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL970,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL980,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
APSOL990,COBOL,Missing,-,AP,Actuarial,"Hutto, Amy"
NC226RE2,COBOL,Missing,-,NC,New Business Scorecard,"Hutto, Amy"
NPAO0666,COBOL,Missing,-,NP,Life 70 - Underwriting,"Hutto, Amy"
AVCO0100,COBOL,Found In Newyork,-,AV,Actuarial,"Hutto, Amy"
NBCO0997,COBOL,Missing,-,NB,Batch Trac,"Hutto, Amy"
PCCO0000,COBOL,Missing,-,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
