calling_component_name,calling_component_type,app_name,app_owner,called_component_name,called_component_type,instance
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",MASTER,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",CPACC,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",PE51LOB,COBOL,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",ATRAILER,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",UTRAILER,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",MSCDSECT,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",BPRDSECT,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",AHATRAIL,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",AHPTRAIL,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",PMTHD,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",UTCB0135,COBOL,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",DSCTAB,FILE,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",NP10030,ASSEMBLER,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",NDINOIN,ASM_COPYBOOK,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",ACPACC2,ASM_COPYBOOK,Columbus
ACPA0500,ASSEMBLER,Actuarial,"Hutto, Amy",PMTRLR,COPYBOOK,Columbus
AGTTBLLD,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",INPUT,FILE,Columbus
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",AHATRAIL,FILE,Columbus
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",UTRAILER,FILE,Columbus
AHAB0900,ASSEMBLER,Actuarial,"Hutto, Amy",PMTRLR,COPYBOOK,Columbus
ALPCLEAR,ASSEMBLER,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",ANMDSECT,FILE,Columbus
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",P@DSECT,FILE,Columbus
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",OP@MOPT,FILE,Columbus
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",ANMFLDL,FILE,Columbus
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",F@SECT,FILE,Columbus
AP10003,ASSEMBLER,Actuarial,"Hutto, Amy",ACLDSECT,FILE,Columbus
AP10004,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10004,ASSEMBLER,Actuarial,"Hutto, Amy",AADDSECT,FILE,Columbus
AP10004,ASSEMBLER,Actuarial,"Hutto, Amy",W@ADSECT,FILE,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",AEDSDSC,FILE,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10310,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10320,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",ASD1DSC,FILE,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10325,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10330,ASSEMBLER,Actuarial,"Hutto, Amy",NDTX001,ASM_COPYBOOK,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",AP10341,COBOL,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10340,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",AED2DSC,FILE,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10350,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10360,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",D@NAME,FILE,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",D@ADDR,FILE,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",AP10003,ASSEMBLER,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10370,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",ASD1DSC,FILE,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10380,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP10390,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",SCRDSCT,FILE,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP103A0,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP103B0,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",TXL70SCB,FILE,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",AD@PDCT,FILE,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",NP14205,ASSEMBLER,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",AED1DSC,FILE,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",NP14208,ASSEMBLER,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",NDCVALS,ASM_COPYBOOK,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",NDSM001,EZPLUS,Columbus
AP103C0,ASSEMBLER,Actuarial,"Hutto, Amy",NDSG001,ASM_COPYBOOK,Columbus
AP20030,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP20030,ASSEMBLER,Actuarial,"Hutto, Amy",PN@REC,FILE,Columbus
AP20030,ASSEMBLER,Actuarial,"Hutto, Amy",PR@APRT,FILE,Columbus
AP20030,ASSEMBLER,Actuarial,"Hutto, Amy",ID@CLID,FILE,Columbus
AP20030,ASSEMBLER,Actuarial,"Hutto, Amy",ER@DSECT,FILE,Columbus
AP20030,ASSEMBLER,Actuarial,"Hutto, Amy",UPWRITE,ASSEMBLER,Columbus
AP30021,ASSEMBLER,Actuarial,"Hutto, Amy",TXCOPY,COPYBOOK,Columbus
AP30021,ASSEMBLER,Actuarial,"Hutto, Amy",C@@DCOM,FILE,Columbus
AP30021,ASSEMBLER,Actuarial,"Hutto, Amy",PMR,FILE,Columbus
AP30021,ASSEMBLER,Actuarial,"Hutto, Amy",DCCONO,FILE,Columbus
AP30021,ASSEMBLER,Actuarial,"Hutto, Amy",CTRAILER,FILE,Columbus
