instance,jcl_component,jcl_app_name,jcl_app_owner,composite_component,called_component,app_name
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,HT01,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,CMCVDATE,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,CMLOAD,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,TXCVMYTD,Life 70 (core batch processing stay on mainframe)
Colombus,PCPCD240,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",HT01X,TXCVDMYC,Life 70 (core batch processing stay on mainframe)
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0110,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0210,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0220,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0230,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0310,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0320,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0330,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0410,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0420,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0430,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0510,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0520,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0530,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0540,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0610,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0620,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0630,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0640,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0710,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0720,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0730,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0740,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0810,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0820,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0830,Actuarial
Colombus,PCARM015,Actuarial,"Hutto, Amy",ICRB011X,ICRB0840,Actuarial
