component_name,component_type,calling_component,calling_type
AECB0010,COBOL,AECC0010,COPYBOOK
AECB0010,COBOL,DSTBLMAC,COPYBOOK
AECB0010,COBOL,Y2KCOBOL,COPYBOOK
AECB0010,COBOL,SQLCA,DCLGEN
AECB0010,COBOL,DSTBLMAN,COBOL
AECB0010,COBOL,UTCB9010,COBOL
AECB0010,COBOL,ABEND,COBOL
AECB0990,COBOL,UUCC5005,COPYBOOK
AECB0990,COBOL,ZZCC1101,COPYBOOK
AECB0990,COBOL,ZZCC1301,COPYBOOK
AECB0990,COBOL,ZZCC0001,COPYBOOK
AECB0990,COBOL,ZZCC0601,COPYBOOK
AECB0990,COBOL,ZZCC0801,COPYBOOK
AECB0990,COBOL,ZZCU0009,COBOL
AECB0990,COBOL,ZZCU0013,COBOL
AECB0990,COBOL,ZZCU0006,COBOL
AECB0990,COBOL,ZZCU0008,COBOL
AECBN925,COBOL,ZZCC1301,COPYBOOK
AECBN925,COBOL,ZZCC0001,COPYBOOK
AECBN925,COBOL,ZZCC0601,COPYBOOK
AECBN925,COBOL,ZZCC0801,COPYBOOK
AECBN925,COBOL,ZZCU0006,COBOL
AECBN925,COBOL,ZZCU0013,COBOL
AECBN925,COBOL,ZZCU0008,COBOL
AECBN927,COBOL,ZZCC1301,COPYBOOK
AECBN927,COBOL,ZZCC0001,COPYBOOK
AECBN927,COBOL,ZZCC0601,COPYBOOK
AECBN927,COBOL,ZZCC0801,COPYBOOK
AECBN927,COBOL,ZZCU0006,COBOL
AECBN927,COBOL,ZZCU0013,COBOL
AECBN927,COBOL,ZZCU0008,COBOL
AECBP001,COBOL,UUCC5022,COPYBOOK
AECBP001,COBOL,UUCC5023,COPYBOOK
AECBP001,COBOL,ZZCC1301,COPYBOOK
AECBP001,COBOL,ZZCC0001,COPYBOOK
AECBP001,COBOL,ZZCC0601,COPYBOOK
AECBP001,COBOL,ZZCC0801,COPYBOOK
AECBP001,COBOL,ZZCU0006,COBOL
AECBP001,COBOL,ZZCU0009,COBOL
AECBP001,COBOL,ZZCU0035,COBOL
AECBP001,COBOL,ZZCB0037,COBOL
AECBP001,COBOL,ZZCU0013,COBOL
AECBP001,COBOL,ZZCU0008,COBOL
AENDBABA,COBOL,ZZCC0001,COPYBOOK
AENDBABA,COBOL,ZZCC1301,COPYBOOK
AENDBABA,COBOL,ZZCC1101,COPYBOOK
AENDBABA,COBOL,UUCC7003,DCLGEN
AENDBABA,COBOL,SQLCA,DCLGEN
AENDBABA,COBOL,UUCC6003,DCLGEN
AENDBABA,COBOL,ZZCU0011,COBOL
AENDBABA,COBOL,ZZCU0013,COBOL
AHCB0010,COBOL,SQLCA,DCLGEN
AHCB0060,COBOL,AHCCAEDB,COPYBOOK
AHCB0060,COBOL,UTCCHDRS,COPYBOOK
AHCB0060,COBOL,UTCC1001,COPYBOOK
AHCB0060,COBOL,UTCC1003,COPYBOOK
AHCB0060,COBOL,UTAB1001,COBOL
AHCB0060,COBOL,UTAB1003,COBOL
AHCB0100,COBOL,AHCCAEDB,COPYBOOK
AHCB0100,COBOL,BPCCE2C0,COPYBOOK
AHCB0100,COBOL,CEE3ABD,COBOL
AHCB0200,COBOL,AHCCAEDB,COPYBOOK
AHCB0200,COBOL,AHCCAHPX,COPYBOOK
AHCB0200,COBOL,DSTBLMAC,COPYBOOK
AHCB0200,COBOL,BPCCE2C0,COPYBOOK
AHCB0200,COBOL,DSTBLMAN,COBOL
AHCB0200,COBOL,CEE3ABD,COBOL
AHCB0210,COBOL,AHCCAEDB,COPYBOOK
AHCB0210,COBOL,AHCCAHPZ,COPYBOOK
AHCB0210,COBOL,BPCCE2C0,COPYBOOK
AHCB0210,COBOL,CEE3ABD,COBOL
AHCB0300,COBOL,BPCCE2C0,COPYBOOK
AHCB0300,COBOL,CEE3ABD,COBOL
AP40005C,COBOL,DSTBLMAC,COPYBOOK
AP40005C,COBOL,Y2KCOBOL,COPYBOOK
AP40005C,COBOL,ABEND,COBOL
AP40005C,COBOL,PE51LOB,COBOL
AP40005C,COBOL,DSTBLMAN,COBOL
AP40005C,COBOL,UTCB9010,COBOL
AP4006U1,COBOL,AP40069,COBOL
APCB1130,COBOL,BPCCE2C0,COPYBOOK
APCB1130,COBOL,CEE3ABD,COBOL
APCB2010,COBOL,DSTBLMAC,COPYBOOK
APCB2010,COBOL,BPCCE2C0,COPYBOOK
APCB2010,COBOL,ICRU2000,COBOL
APCB2010,COBOL,DSTBLMAN,COBOL
APCB2010,COBOL,CEE3ABD,COBOL
APCC1100,COBOL,PMCCNAV0,COPYBOOK
APCC1100,COBOL,PMCCNAV1,COPYBOOK
APCC1100,COBOL,CMFINDTC,COPYBOOK
APCC1100,COBOL,Y2KCOBOL,COPYBOOK
APCC1100,COBOL,ABEND,COBOL
APCC1100,COBOL,PMCBNAV0,COBOL
APCC1100,COBOL,CMFINDT,COBOL
APSPGM24,COBOL,FCCC0998,COPYBOOK
APSPGM24,COBOL,FCCC0999,COPYBOOK
APSPGM24,COBOL,DSTBLMAC,COPYBOOK
APSPGM24,COBOL,SQLCA,DCLGEN
APSPGM24,COBOL,SCOUNTY,DCLGEN
APSPGM24,COBOL,SCOUNTYZ,DCLGEN
APSPGM24,COBOL,DSTBLMAN,COBOL
APSPGM24,COBOL,CEE3ABD,COBOL
ARCB0040,COBOL,BPCCE2C0,COPYBOOK
ARCB0040,COBOL,CEE3ABD,COBOL
ARCB0100,COBOL,BPCCE2C0,COPYBOOK
ARCB0100,COBOL,CEE3ABD,COBOL
ARCB0600,COBOL,Y2KCOBOL,COPYBOOK
ARCB0600,COBOL,BPCCE2C0,COPYBOOK
ARCB0600,COBOL,UTCB9010,COBOL
ARCB0600,COBOL,CEE3ABD,COBOL
ARSCC015,COBOL,ARCBEFST,COPYBOOK
ARSCC015,COBOL,LPCSCRS,COPYBOOK
ARSCC015,COBOL,LUTPCS00,COPYBOOK
ARSCC015,COBOL,Y2KCOBOL,COPYBOOK
ARSCC015,COBOL,UTCB9010,COBOL
ARSCC028,COBOL,ARCBEFST,COPYBOOK
