component_name,component_type,app_name,app_owner,table_name,operation,query,instance
AECB0010,COBOL,Actuarial,"Hutto, Amy",TBL_PM_CONTRACT,READ,"DECLARE A68-PMR-CSR CURSOR FOR SELECT A.CONT_SEQ ,A.CONT_COMPANY_NO ,A.CONT_POLICY_NO ,A.CONT_STATUS_CD ,A.CONT_PAIDTO_DT ,A.CONT_ISSUE_DT ,A.CONT_CUSTOMER_NBR ,B.LFBF_PHASE_NO ,B.LFBD_PLAN_CD ,B.LFBD_ISSUESTAT_CD ,B.LFBD_ISSUEAGE_NBR ,B.LFBD_SEX_IND ,B.LFBD_ISSUE_DT ,B.LFBD_BIRTH_DT ,B.LFBD_NUMOFUNTS_AMT ,B.LFBD_VALPERUNT_AMT ,B.LFBD_DURATION_NBR ,B.LFBD_INFORCE_CD ,B.LFBD_PAYUP_DT ,B.LFBD_MATUREXPR_DT FROM TBL_PM_CONTRACT A, TBL_PM_LIFEBENDTL B WHERE A.CONT_SEQ = B.CONT_SEQ AND B.LFBF_PHASE_NO = 01 AND B.LFBD_INFORCE_CD <> '5' AND B.LFBD_PLAN_CD IN ('5T1N1W', '5T1T1W', '5T1N1Z', '5T1T1Z', '5T2N2W', '5T2T2W', '5T2N2Z', '5T2T2Z', '5T3N3W', '5T3T3W', '5T3N3Z', '5T3T3Z', '5ARNEW', '5ARTEW', '5ARNEZ', '5ARTEZ', '1WLN8M', '1WLT8M', '1WLN8F', '1WLT8F', '1WLN8L', '1WLT8L', '1WLN8L', '1WLT8L', '1WLNCL', '1WLTCL', '1WLNCL', '1WLTCL', '1WLN9L', '1WLT9L', '1WLN9L', '1WLT9L', '5T1N1V', '5T1T1V', '5T2N2V', '5T2T2V', '5T3N3V', '5T3T3V', '5T1N2V', '5T1T2V', '5T2N3V', '5T2T3V', '5T3N4V', '5T3T4V', '5T1N4A', '5T1T4A', '5T2N5A', '5T2T5A', '5T3N6A', '5T3T6A', '5T1N1A', '5T1T1A', '5T2N2A', '5T2T2A', '5T3N3A', '5T3T3A', '5ARN7V', '5ARNAG', '5ARTAG', '5ART7V', '1WLNCM', '1WLNCF', '1WLTCM', '1WLTCF', '5T1N1X', '5T1T1X', '5T2N2X', '5T2T2X', '5T3N3X', '5T3T3X', '1WLNEF', '1WLTEF', '1WLNEM', '1WLTEM', '5T1N1Y', '5T1T1Y', '5T2N2Y', '5T2T2Y', '5T3N3Y', '5T3T3Y', '5ARNAV', '5ARTAV') WITH UR .",Columbus
AECB0010,COBOL,Actuarial,"Hutto, Amy",TBL_PM_LIFEBENDTL,READ,"DECLARE A68-PMR-CSR CURSOR FOR SELECT A.CONT_SEQ ,A.CONT_COMPANY_NO ,A.CONT_POLICY_NO ,A.CONT_STATUS_CD ,A.CONT_PAIDTO_DT ,A.CONT_ISSUE_DT ,A.CONT_CUSTOMER_NBR ,B.LFBF_PHASE_NO ,B.LFBD_PLAN_CD ,B.LFBD_ISSUESTAT_CD ,B.LFBD_ISSUEAGE_NBR ,B.LFBD_SEX_IND ,B.LFBD_ISSUE_DT ,B.LFBD_BIRTH_DT ,B.LFBD_NUMOFUNTS_AMT ,B.LFBD_VALPERUNT_AMT ,B.LFBD_DURATION_NBR ,B.LFBD_INFORCE_CD ,B.LFBD_PAYUP_DT ,B.LFBD_MATUREXPR_DT FROM TBL_PM_CONTRACT A, TBL_PM_LIFEBENDTL B WHERE A.CONT_SEQ = B.CONT_SEQ AND B.LFBF_PHASE_NO = 01 AND B.LFBD_INFORCE_CD <> '5' AND B.LFBD_PLAN_CD IN ('5T1N1W', '5T1T1W', '5T1N1Z', '5T1T1Z', '5T2N2W', '5T2T2W', '5T2N2Z', '5T2T2Z', '5T3N3W', '5T3T3W', '5T3N3Z', '5T3T3Z', '5ARNEW', '5ARTEW', '5ARNEZ', '5ARTEZ', '1WLN8M', '1WLT8M', '1WLN8F', '1WLT8F', '1WLN8L', '1WLT8L', '1WLN8L', '1WLT8L', '1WLNCL', '1WLTCL', '1WLNCL', '1WLTCL', '1WLN9L', '1WLT9L', '1WLN9L', '1WLT9L', '5T1N1V', '5T1T1V', '5T2N2V', '5T2T2V', '5T3N3V', '5T3T3V', '5T1N2V', '5T1T2V', '5T2N3V', '5T2T3V', '5T3N4V', '5T3T4V', '5T1N4A', '5T1T4A', '5T2N5A', '5T2T5A', '5T3N6A', '5T3T6A', '5T1N1A', '5T1T1A', '5T2N2A', '5T2T2A', '5T3N3A', '5T3T3A', '5ARN7V', '5ARNAG', '5ARTAG', '5ART7V', '1WLNCM', '1WLNCF', '1WLTCM', '1WLTCF', '5T1N1X', '5T1T1X', '5T2N2X', '5T2T2X', '5T3N3X', '5T3T3X', '1WLNEF', '1WLTEF', '1WLNEM', '1WLTEM', '5T1N1Y', '5T1T1Y', '5T2N2Y', '5T2T2Y', '5T3N3Y', '5T3T3Y', '5ARNAV', '5ARTAV') WITH UR .",Columbus
AECB0010,COBOL,Actuarial,"Hutto, Amy",CIF_CUSTOMER,READ,"SELECT CIF_LAST_NAME ,CIF_FIRST_NAME ,CIF_INITIAL INTO :CIF-LAST-NAME, :CIF-FIRST-NAME, :CIF-INITIAL FROM CIF_CUSTOMER WHERE CIF_CUSTOMER_ID = :CIF-CUSTOMER-ID",Columbus
AECB0010,COBOL,Actuarial,"Hutto, Amy",SYSDUMMY1,READ,SELECT YEAR (:LFBD-ISSUE-DT) - YEAR (:CONT-PAIDTO-DT) INTO :WS-DIFF-YEARS FROM SYSIBM.SYSDUMMY1,Columbus
AENDBABA,COBOL,Actuarial,"Hutto, Amy",APAY_PROC_CONTROL,READ,"DECLARE SERV_01_1 CURSOR WITH HOLD FOR SELECT APAY_PROC_IDENT , GRP_NR , ORG_GRP_NR , INVOICE_NR , DESK_CODE , STATE_CODE , INVOICE_DUE_DATE , INVOICE_DUE_AMT , INVOICE_DATE_PAID , INVOICE_AMT_RECD , INVOICE_DATE_RECD , INVOICE_DATE_OPEND , LAST_DATE_WORKED , INVOICE_STATUS , USER_ID_OPEND , RB_INVOICE_BILLED , RB_AMOUNT_RECEIVED , RB_ADJUSTED_AMT , RB_ADJUSTED_BAL , GR_MSTR_UPD_ISSUED , UPDATE_STORE_IND , INVOICE_LINE_CNT , MICROFILM_INDEX_NR , CASHIER_BATCH_NR , BANK_DEPOSIT_NR , BATCH_ITEM_NR , MASS_CHANGE_IND , CYCLE_TRAN_NOT_GEN , INVOICE_RUN_DATE , NEW_GRP_NR , OLD_STATUS_CODE , MODEL_GRP , MODEL_INV , FREQ_MODE , INVOICE_MODE , ORIGINAL_AMT_RECD , PGM_ISSUING_UPDATE , RB_PAY_ADJUSTMENTS , TIME_OF_UPDATE , AUTO_RECON_APPLIED , PAYMENT_METHOD , APAY_PROC_LOCK FROM APAY_PROC_CONTROL WHERE (GRP_NR > :WRK-CRITERION.GRP-NR OR (GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_DUE_DATE <= :WRK-CRITERION.INVOICE-DUE-DATE)) ORDER BY GRP_NR , INVOICE_DUE_DATE DESC FOR FETCH ONLY",Columbus
AENDBABA,COBOL,Actuarial,"Hutto, Amy",APAY_PROC_CONTROL,READ,"DECLARE SERV_01_2 CURSOR WITH HOLD FOR SELECT APAY_PROC_IDENT , GRP_NR , ORG_GRP_NR , INVOICE_NR , DESK_CODE , STATE_CODE , INVOICE_DUE_DATE , INVOICE_DUE_AMT , INVOICE_DATE_PAID , INVOICE_AMT_RECD , INVOICE_DATE_RECD , INVOICE_DATE_OPEND , LAST_DATE_WORKED , INVOICE_STATUS , USER_ID_OPEND , RB_INVOICE_BILLED , RB_AMOUNT_RECEIVED , RB_ADJUSTED_AMT , RB_ADJUSTED_BAL , GR_MSTR_UPD_ISSUED , UPDATE_STORE_IND , INVOICE_LINE_CNT , MICROFILM_INDEX_NR , CASHIER_BATCH_NR , BANK_DEPOSIT_NR , BATCH_ITEM_NR , MASS_CHANGE_IND , CYCLE_TRAN_NOT_GEN , INVOICE_RUN_DATE , NEW_GRP_NR , OLD_STATUS_CODE , MODEL_GRP , MODEL_INV , FREQ_MODE , INVOICE_MODE , ORIGINAL_AMT_RECD , PGM_ISSUING_UPDATE , RB_PAY_ADJUSTMENTS , TIME_OF_UPDATE , AUTO_RECON_APPLIED , PAYMENT_METHOD , APAY_PROC_LOCK FROM APAY_PROC_CONTROL WHERE (GRP_NR >= :WRK-CRITERION.GRP-NR) AND (GRP_NR > :WRK-CRITERION.GRP-NR OR (GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_DUE_DATE < :WRK-CRITERION.INVOICE-DUE-DATE) OR (GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_DUE_DATE = :WRK-CRITERION.INVOICE-DUE-DATE AND APAY_PROC_IDENT > :CURR-IDENTIFIER)) ORDER BY GRP_NR , INVOICE_DUE_DATE DESC , APAY_PROC_IDENT OPTIMIZE FOR 1 ROWS FOR FETCH ONLY",Columbus
AENDBABA,COBOL,Actuarial,"Hutto, Amy",APAY_PROC_CONTROL,READ,"DECLARE SERV_01_3 CURSOR WITH HOLD FOR SELECT APAY_PROC_IDENT , GRP_NR , ORG_GRP_NR , INVOICE_NR , DESK_CODE , STATE_CODE , INVOICE_DUE_DATE , INVOICE_DUE_AMT , INVOICE_DATE_PAID , INVOICE_AMT_RECD , INVOICE_DATE_RECD , INVOICE_DATE_OPEND , LAST_DATE_WORKED , INVOICE_STATUS , USER_ID_OPEND , RB_INVOICE_BILLED , RB_AMOUNT_RECEIVED , RB_ADJUSTED_AMT , RB_ADJUSTED_BAL , GR_MSTR_UPD_ISSUED , UPDATE_STORE_IND , INVOICE_LINE_CNT , MICROFILM_INDEX_NR , CASHIER_BATCH_NR , BANK_DEPOSIT_NR , BATCH_ITEM_NR , MASS_CHANGE_IND , CYCLE_TRAN_NOT_GEN , INVOICE_RUN_DATE , NEW_GRP_NR , OLD_STATUS_CODE , MODEL_GRP , MODEL_INV , FREQ_MODE , INVOICE_MODE , ORIGINAL_AMT_RECD , PGM_ISSUING_UPDATE , RB_PAY_ADJUSTMENTS , TIME_OF_UPDATE , AUTO_RECON_APPLIED , PAYMENT_METHOD , APAY_PROC_LOCK FROM APAY_PROC_CONTROL WHERE (GRP_NR >= :WRK-CRITERION.GRP-NR) AND (GRP_NR > :WRK-CRITERION.GRP-NR OR (GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_DUE_DATE < :WRK-CRITERION.INVOICE-DUE-DATE) OR (GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_DUE_DATE = :WRK-CRITERION.INVOICE-DUE-DATE AND APAY_PROC_IDENT > :CURR-IDENTIFIER)) ORDER BY GRP_NR , INVOICE_DUE_DATE DESC , APAY_PROC_IDENT OPTIMIZE FOR 1 ROWS FOR FETCH ONLY",Columbus
AENDBABA,COBOL,Actuarial,"Hutto, Amy",APAY_PROC_CONTROL,READ,"DECLARE SERV_02_1 CURSOR WITH HOLD FOR SELECT APAY_PROC_IDENT , GRP_NR , ORG_GRP_NR , INVOICE_NR , DESK_CODE , STATE_CODE , INVOICE_DUE_DATE , INVOICE_DUE_AMT , INVOICE_DATE_PAID , INVOICE_AMT_RECD , INVOICE_DATE_RECD , INVOICE_DATE_OPEND , LAST_DATE_WORKED , INVOICE_STATUS , USER_ID_OPEND , RB_INVOICE_BILLED , RB_AMOUNT_RECEIVED , RB_ADJUSTED_AMT , RB_ADJUSTED_BAL , GR_MSTR_UPD_ISSUED , UPDATE_STORE_IND , INVOICE_LINE_CNT , MICROFILM_INDEX_NR , CASHIER_BATCH_NR , BANK_DEPOSIT_NR , BATCH_ITEM_NR , MASS_CHANGE_IND , CYCLE_TRAN_NOT_GEN , INVOICE_RUN_DATE , NEW_GRP_NR , OLD_STATUS_CODE , MODEL_GRP , MODEL_INV , FREQ_MODE , INVOICE_MODE , ORIGINAL_AMT_RECD , PGM_ISSUING_UPDATE , RB_PAY_ADJUSTMENTS , TIME_OF_UPDATE , AUTO_RECON_APPLIED , PAYMENT_METHOD , APAY_PROC_LOCK FROM APAY_PROC_CONTROL WHERE GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_NR = :WRK-CRITERION.INVOICE-NR FOR FETCH ONLY",Columbus
AENDBABA,COBOL,Actuarial,"Hutto, Amy",APAY_PROC_CONTROL,READ,"DECLARE SERV_02_2 CURSOR WITH HOLD FOR SELECT APAY_PROC_IDENT , GRP_NR , ORG_GRP_NR , INVOICE_NR , DESK_CODE , STATE_CODE , INVOICE_DUE_DATE , INVOICE_DUE_AMT , INVOICE_DATE_PAID , INVOICE_AMT_RECD , INVOICE_DATE_RECD , INVOICE_DATE_OPEND , LAST_DATE_WORKED , INVOICE_STATUS , USER_ID_OPEND , RB_INVOICE_BILLED , RB_AMOUNT_RECEIVED , RB_ADJUSTED_AMT , RB_ADJUSTED_BAL , GR_MSTR_UPD_ISSUED , UPDATE_STORE_IND , INVOICE_LINE_CNT , MICROFILM_INDEX_NR , CASHIER_BATCH_NR , BANK_DEPOSIT_NR , BATCH_ITEM_NR , MASS_CHANGE_IND , CYCLE_TRAN_NOT_GEN , INVOICE_RUN_DATE , NEW_GRP_NR , OLD_STATUS_CODE , MODEL_GRP , MODEL_INV , FREQ_MODE , INVOICE_MODE , ORIGINAL_AMT_RECD , PGM_ISSUING_UPDATE , RB_PAY_ADJUSTMENTS , TIME_OF_UPDATE , AUTO_RECON_APPLIED , PAYMENT_METHOD , APAY_PROC_LOCK FROM APAY_PROC_CONTROL WHERE GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_NR = :WRK-CRITERION.INVOICE-NR AND APAY_PROC_IDENT > :CURR-IDENTIFIER ORDER BY APAY_PROC_IDENT OPTIMIZE FOR 24 ROWS FOR FETCH ONLY",Columbus
AENDBABA,COBOL,Actuarial,"Hutto, Amy",APAY_PROC_CONTROL,READ,"DECLARE SERV_02_3 CURSOR WITH HOLD FOR SELECT APAY_PROC_IDENT , GRP_NR , ORG_GRP_NR , INVOICE_NR , DESK_CODE , STATE_CODE , INVOICE_DUE_DATE , INVOICE_DUE_AMT , INVOICE_DATE_PAID , INVOICE_AMT_RECD , INVOICE_DATE_RECD , INVOICE_DATE_OPEND , LAST_DATE_WORKED , INVOICE_STATUS , USER_ID_OPEND , RB_INVOICE_BILLED , RB_AMOUNT_RECEIVED , RB_ADJUSTED_AMT , RB_ADJUSTED_BAL , GR_MSTR_UPD_ISSUED , UPDATE_STORE_IND , INVOICE_LINE_CNT , MICROFILM_INDEX_NR , CASHIER_BATCH_NR , BANK_DEPOSIT_NR , BATCH_ITEM_NR , MASS_CHANGE_IND , CYCLE_TRAN_NOT_GEN , INVOICE_RUN_DATE , NEW_GRP_NR , OLD_STATUS_CODE , MODEL_GRP , MODEL_INV , FREQ_MODE , INVOICE_MODE , ORIGINAL_AMT_RECD , PGM_ISSUING_UPDATE , RB_PAY_ADJUSTMENTS , TIME_OF_UPDATE , AUTO_RECON_APPLIED , PAYMENT_METHOD , APAY_PROC_LOCK FROM APAY_PROC_CONTROL WHERE GRP_NR = :WRK-CRITERION.GRP-NR AND INVOICE_NR = :WRK-CRITERION.INVOICE-NR AND APAY_PROC_IDENT > :CURR-IDENTIFIER ORDER BY APAY_PROC_IDENT OPTIMIZE FOR 1 ROWS FOR FETCH ONLY",Columbus
