component_name,component_type,app_name,app_owner,from_email,to_email,subject,instance
PCCPD004,JCL,Policy Remarks,"Hutto, Amy",<JFOX@AFLAC.COM>,<ABSTEST@AFLAC.COM>,CHECK PCCPD004-01 REPORT EFT VOIDS AND REISSUES,Columbus
PCCPD004,JCL,Policy Remarks,"Hutto, Amy",<JFOX@AFLAC.COM>,<ABSTEST@AFLAC.COM>,CHECK PCCPD004-02 INVALID EFT REJECTS AND RETURNS,Columbus
PCCPD005,JCL,Policy Remarks,"Hutto, Amy",<IT-CLAIMS-AGILETEAM@AFLAC.COM>,<OFAC-COMPLIANCE@AFLAC.COM>,RETURNED PH ACH WITH R16,Columbus
PCCPD600,JCL,Policy Remarks,"Hutto, Amy",<CLMTOTRPT@AFLAC.COM>,<IT-CLAIMTOTALS@AFLAC.COM>,CLAIM TOTALS,Columbus
PCCPD850,JCL,Policy Remarks,"Hutto, Amy",<OPERATIONS@AFLAC.COM>,<CLAIMSBALANCING@AFLAC.COM>,COLUMBUS SPREAD SHEET HAS BEEN TRANSFERRED,Columbus
PCCPY876,JCL,Policy Remarks,"Hutto, Amy",<INVESTIGATIONNEEDED@PRODUCTION.PROBLEM>,<IT-CLAIMS-AGILETEAM@AFLAC.COM>,INPUT RECORDS WITH INVALID ADDRESS FOUND FOR TAX REPORTING.,Columbus
PCPCD150,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<DARGABRIGHT@AFLAC.COM>,PCCB0181 DUP RECORDS IN MASTER VSAM FILE PC.PCVS.DC69LD.ARCHIVES,Columbus
PCPCD150,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<RJACKSON2@AFLAC.COM>,PCCB0181 DUP RECORDS IN MASTER VSAM FILE PC.PCVS.DC69LD.ARCHIVES,Columbus
PCPCD379,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<NKIEFER@AFLAC.COM>,PROD: GROUP NUMBER NOT FOUND,Columbus
PCPCD780,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<AFLAC ALWAYS NOTICES>,"PCCB0709-TBL_PM_CONTRACT_FI_TOKEN,TBL_PF_IND_FI_TOKEN NOT SYNCD",Columbus
PACPD004,JCL,Policy Remarks,"Hutto, Amy",<JFOX@AFLAC.COM>,<ABSTEST@AFLAC.COM>,CHECK PACPD004-01 REPORT EFT VOIDS AND REISSUES,Newyork
PACPD004,JCL,Policy Remarks,"Hutto, Amy",<JFOX@AFLAC.COM>,<ABSTEST@AFLAC.COM>,CHECK PACPD004-02 INVALID EFT REJECTS AND RETURNS,Newyork
PACPD850,JCL,Policy Remarks,"Hutto, Amy",<OPERATIONS@AFLAC.COM>,<CLAIMSBALANCING@AFLAC.COM>,NEW YORK SPREAD SHEET HAS BEEN TRANSFERRED,Newyork
PACPY876,JCL,Policy Remarks,"Hutto, Amy",<INVESTIGATIONNEEDED@PRODUCTION.PROBLEM>,<IT-CLAIMS-AGILETEAM@AFLAC.COM>,INPUT RECORDS WITH INVALID ADDRESS FOUND FOR TAX REPORTING.,Newyork
PAPCD150,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<DARGABRIGHT@AFLAC.COM>,PCCB0181 DUP RECORDS IN MASTER VSAM FILE PC.PCVS.DC69LD.ARCHIVES,Newyork
PAPCD150,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<RJACKSON2@AFLAC.COM>,PCCB0181 DUP RECORDS IN MASTER VSAM FILE PC.PCVS.DC69LD.ARCHIVES,Newyork
PAPCD379,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<NKIEFER@AFLAC.COM>,PROD: GROUP NUMBER NOT FOUND,Newyork
PAPCD780,JCL,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",<AFLACADVANTAGECLEANUP@AFLAC.COM>,<AFLAC ALWAYS NOTICES>,"PCCB0709-TBL_PM_CONTRACT_FI_TOKEN,TBL_PF_IND_FI_TOKEN NOT SYNCD",Newyork
