component_name,file_name,open_mode,closed,read,write,rewrite,start,release,delete,sort,merge,optional,instance
ABCB0500,SYS-ENVIRONMENT,INPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
ABCB0500,CYCLE-DATE,INPUT,No,No,No,No,No,No,No,No,No,No,Columbus
ABCB0500,INCOMING-POLICY,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ABCB0500,SUSPENSE-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ABCB0500,CREDITCARD-BILLMSTR,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ABCB0500,BANKDRAFT-BILLMSTR,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ABCB0500,BD-POLICY-ACCOUNTING,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ABCB0500,BD-GA11-ACCOUNTING,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ABCB0500,CC-POLICY-ACCOUNTING,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ABCB0500,CC-GA11-ACCOUNTING,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ABCB0500,OLOGFILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ACCB0101,INPUT01,INPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
ACCB0101,INPUT02,INPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
ACCB0101,OTPUT01,OUTPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
ACLC0100,INPUT-DATE-CARD,INPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
ACLC0100,CLO-CLAIMS-EXTRACT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ACLC0100,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC993,CLI-PLAN-MASTER-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC993,CLI-PLAN-RIDERS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC993,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC994,CLI-PLAN-MASTER-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC994,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC995,CLI-ADA-VERIFY-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC995,CLI-PLAN-CODES-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC995,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC995,PRINT-FILE2,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC996,CLI-PLAN-MASTER-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC996,CLI-PLAN-RIDERS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC996,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC997,CLI-ADA-VERIFY-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC997,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC998,CLI-PLAN-MASTER-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC998,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-COSMETIC-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-WELLNESS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-XRAY-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-ROOTCAN-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-REPAIRS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-EXTRACT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-DENTURES-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-PAINREL-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-DIAGNOST-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-PREVENT-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-CROWNS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-GUMS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-PLANCODES-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-COSPLANCODES-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-ORTPLANCODES-FILE,INPUT,No,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-ORTHO-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,CLI-FILLINGS-FILE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
ADHOC999,PRINT-FILE,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
ADHOC999,PRINT-FILE2,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
AECB0010,PE10-DATE,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
AECB0010,SWISSRE-OUT-FILE-V,OUTPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
AECB0010,SWISSRE-OUT-FILE-F,OUTPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
AECB0010,SWISSRE-ERR-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
AECB0010,SWISSRE-PREM-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
AECB0010,SWISSRE-NEWB-OUT-FILE,OUTPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
AECB0100,PMRIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
AECB0100,CIFIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
AECB0100,RECOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
AECB0200,RECIN,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
AECB0200,RECOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
AECB0200,TRANOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
AECB0300,RECIN,INPUT,Yes,Yes,Yes,No,No,No,No,No,No,No,Columbus
AECB0300,RECOLD,INPUT,Yes,Yes,No,No,No,No,No,No,No,No,Columbus
AECB0300,DATEIN,INPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
AECB0300,RECOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
AECB0300,TRANOUT,OUTPUT,Yes,No,Yes,No,No,No,No,No,No,No,Columbus
AECB0990,WORK02,INPUT/INPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
AECB0990,WORK01,OUTPUT/OUTPUT,Yes,No,No,No,No,No,No,No,No,No,Columbus
