Instance,Source component,Source component app name,App Owner,Composite component,Called component,Called component app name
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DC40,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,NP00020,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPX0040,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPX0010,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,UPWRITE,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DC40A,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DC42AFL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,VSAMIO,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,TLKUP,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,TXCVDMYC,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DTXQDATA,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,TXCVMYTD,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DISAMIO,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,IOCONTRL,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPX1020,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPX1010,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPXISAM,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPX1011,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPSNPMSA,Life 70 (core batch processing stay on mainframe)
Newyork,PCPCD100,Life 70 (core batch processing stay on mainframe),"Hutto, Amy",DC40X,DPRNPMSA,Life 70 (core batch processing stay on mainframe)
Newyork,PCAEM040,Actuarial,"Hutto, Amy",DC42X,DC42,Actuarial
