component_name,component_type,App Name,App Owner,table_name,operation,query
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS CYCLEJ_I_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID = 'BCC' AND A.MTRC_COMPANY_NO = '02' WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS CYCLEJ_I_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID = 'BCC' AND A.MTRC_COMPANY_NO = '02' WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '02' WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '02' WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS CYCLEJ_II_REJECTED_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '02' AND A.MTRC_POL_STATUS_IND = 'R' WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS CYCLEJ_II_REJECTED_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '02' AND A.MTRC_POL_STATUS_IND = 'R' WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,SELECT COUNT(*) AS POL_WITH_MULT_CYCLEJ_II_TA FROM ( SELECT A.MTRC_POLICY_NO FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '02' GROUP BY A.MTRC_POLICY_NO HAVING COUNT(*) > 1 ) AS C WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,SELECT COUNT(*) AS POL_WITH_MULT_CYCLEJ_II_TA FROM ( SELECT A.MTRC_POLICY_NO FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_BUS_INTENT_ID != 'BCC' AND A.MTRC_COMPANY_NO = '02' GROUP BY A.MTRC_POLICY_NO HAVING COUNT(*) > 1 ) AS C WITH UR
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_JR_CJ_METRIC,READ,"SELECT A.MTRC_BUS_INTENT_ID AS TRANSACTION_TYPE, COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_COMPANY_NO = '02' AND A.MTRC_BUS_INTENT_ID != 'BCC' GROUP BY A.MTRC_BUS_INTENT_ID ORDER BY A.MTRC_BUS_INTENT_ID WITH UR"
PAJRD002,JCL,Conversions (Cycle J IV - TracJ),"Hutto, Amy",TBL_NF_CYCLEDATE,READ,"SELECT A.MTRC_BUS_INTENT_ID AS TRANSACTION_TYPE, COUNT(*) AS CYCLEJ_II_TRANSACTIONS FROM PCJRDB01.TBL_JR_CJ_METRIC A INNER JOIN PCNFDB01.TBL_NF_CYCLEDATE B ON A.MTRC_CYCLE_DT = B.CYDT_CYCLE_DT AND A.MTRC_COMPANY_NO = B.CYDT_COMPANY_NO WHERE A.MTRC_COMPANY_NO = '02' AND A.MTRC_BUS_INTENT_ID != 'BCC' GROUP BY A.MTRC_BUS_INTENT_ID ORDER BY A.MTRC_BUS_INTENT_ID WITH UR"
