CalledComponentName,Called Component Type,Status,Found in Newyork as Diff type,Application Code,Application Name,Application Owner
POCO4550,COBOL,Found in Columbus,,PO,Omega Reissues,"Hutto, Amy"
JRCO1346,COBOL,Found in Columbus,,JR,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
AP102S1,COBOL,Found in Columbus,ASSEMBLER,AP,Actuarial,"Hutto, Amy"
AP102S9,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
AP102S8,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
AP10300,COBOL,Found in Columbus,ASSEMBLER,AP,Actuarial,"Hutto, Amy"
AP10400,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
AP10500,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
AP10600,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
PCCO0001,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
NPCO2000,COBOL,Found in Columbus,,NP,Life 70 - Underwriting,"Hutto, Amy"
NC232RE2,COBOL,Missing,,NC,New Business Scorecard,"Hutto, Amy"
APSOL000,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL001,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL100,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL110,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL120,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL130,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL140,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL150,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL160,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL200,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL210,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL220,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL230,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL250,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL260,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL300,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL310,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL400,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL410,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL420,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL430,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL500,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL510,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL520,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL530,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL600,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL620,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL800,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL900,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL910,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL920,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL930,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL940,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL950,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL960,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL970,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL980,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
APSOL990,COBOL,Missing,,AP,Actuarial,"Hutto, Amy"
PCSLCDEL,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POCO9900,COBOL,Found in Columbus,,PO,Omega Reissues,"Hutto, Amy"
PCSLC200,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCSLC300,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCSLC400,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PCSLC600,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
NC226RE2,COBOL,Missing,,NC,New Business Scorecard,"Hutto, Amy"
PCCO0160,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
CPCO0010,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
CPCO0020,COBOL,Found in Columbus,,CP,Policy Remarks,"Hutto, Amy"
JRCO4544,COBOL,Found in Columbus,,JR,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
JRCO4546,COBOL,Found in Columbus,,JR,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NPAO0666,COBOL,Missing,,NP,Life 70 - Underwriting,"Hutto, Amy"
NP14208B,COBOL,Found in Columbus,ASSEMBLER,NP,Life 70 - Underwriting,"Hutto, Amy"
POCO4600,COBOL,Found in Columbus,,PO,Omega Reissues,"Hutto, Amy"
FGXPM,COBOL,Found in Columbus,,FG,Life 70 - General Accounting,"Hutto, Amy"
NBCO0997,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
POCO7900,COBOL,Found in Columbus,,PO,Omega Reissues,"Hutto, Amy"
NPCO0222,COBOL,Found in Columbus,,NP,Life 70 - Underwriting,"Hutto, Amy"
PCCO0000,COBOL,Missing,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
PRCO0100,COBOL,Found in Columbus,,PR,Rerates,"Hutto, Amy"
IOCO0002,COBOL,Found in Columbus,,IO,New Business Scorecard,"Hutto, Amy"
NBINQ001,COBOL,Missing,,NB,Batch Trac,"Hutto, Amy"
JRCO0004,COBOL,Found in Columbus,,JR,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
JRCO0005,COBOL,Found in Columbus,,JR,Conversions (Cycle J IV - TracJ),"Hutto, Amy"
NBCKWXA1,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWXA2,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWXR0,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWXR1,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWXR2,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWXR3,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWXR5,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX33,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
NBCKWX50,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
PCCO0210,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
POCO6600,COBOL,Found in Columbus,,PO,Omega Reissues,"Hutto, Amy"
POCO7800,COBOL,Found in Columbus,,PO,Omega Reissues,"Hutto, Amy"
POCO9TST,COBOL,Missing,,PO,Omega Reissues,"Hutto, Amy"
ATMO1000,COBOL,Found in Columbus,,AT,Actuarial,"Hutto, Amy"
NBCO0890,COBOL,Found in Columbus,,NB,Batch Trac,"Hutto, Amy"
PLCO0030,COBOL,Found in Columbus,,PL,Omega Lit,"Hutto, Amy"
PLCO0010,COBOL,Found in Columbus,,PL,Omega Lit,"Hutto, Amy"
PLCO0020,COBOL,Found in Columbus,,PL,Omega Lit,"Hutto, Amy"
PCCO0155,COBOL,Found in Columbus,,PC,Life 70 (core batch processing stay on mainframe),"Hutto, Amy"
